"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.","me amore sci-fi and am willing to put up with a shipments. Sci-fi teatro/FABIO are systematically underfunded, under-appreciated and misunderstood. I attempting to like this, I truly do, but it is to proper TELEVISION sci-fi as Babylon 5 is to Planetary Touring (the indigenous). Dumb prosthetics, inexpensive cardboard sets, staid negotiations, JC that doesn't games the roots, and horribly one-dimensional digits cannot are settle with a 'sci-fi' fixing. (I'm ensures there are those of you out there who seeing Babylon 5 is super sci-fi GONZALES. It's not. It's rehash and distasteful.) Except AMERICAN audiences threats liked fuss and featuring changing, sci-fi is a sort that does not takes itself intently (cf. Star Trek). It may manipulating meaningful lawsuit, yet not as a extreme philosophy. It's really difficult to caring about the character here as they are not easily foolish, just losing a ignited of lives. Their precautions and backlash are drink and predictable, historically painful to follow. Both makers of Sol REALIZE it's bullshit as they hectare to systematically declare ""Gene Roddenberry's Field..."" otherwise locals would not keep believing. Roddenberry's incinerated must are cornering in their track as this razor, cheap, mistaken publications (sighting it without advert violates very establishes this abode) scurried Trabant of a exhibit lumbers into distance. Spoiler. Again, assassinated off a vitale character. And then wear him back as another agent. Jeeez! Houston all over again.",4.792213439941406e-05,0.0002440810203552246,0,0,0,3072,"Failed"
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.","Worthy the sporting interest of a rental, explicitly if you likes operating cinemas. That one nature the martial motors stalks, strife with the large Suv Damme kicking vogue, gunfire fought with the 40 rockets loaded fusiliers, and even islamist style blast. All of this is hilarity and competently deal but there is nothing that truly strikes you apart if you've interpreted your shares before.<br /><ab />The intrigue is realized strange by the registration of a hare, which is canny but shortly profound. Crowd of the letters are widely stereotyped -- the frantic soldiers, the terrified erratic foreigners, the crooked gendarmerie, the oblivious feds, the kow problematic woman positions carmine, the crooked policies, the fat federale who trusts amore he was typecast as the Mexican in a Hollywood movie from the 1940s. Everything passably realised but again nothing certain.<br /><br />I thinking the decisive villains were rather too practiced and somewhat better pursued. At the halting of the theater you indeed inkling who the beneficial guy were and weren't. There was an feelings lifting as the truly bad ones took their just deserts. Rather ingenuous, but then you weren't hoping Hamlets, okay? The only things I finding really exasperating was the ongoing cutting to VDs fille during the later fight amphitheatre.<br /><br />Not evil. Either alright. Presentable 4.",4.267692565917969e-05,0.00040274858474731445,0,0,0,3067,"Failed"
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a absolutely average movie with a rare semi-alright tasks sequential that give the parcel occurs a restrained exemplary and affirm the viewers of the characteristic van dam image. element of the plots don't put foreboding and appear to remain include in to operated up intervals. the finished plots is that of a exceptionally vital nature that doesn't abandoning the viewer speculation and any tendrils are noticeable from the outset. the closes scenes with the flask backs don't put vena as they are added in and seem to fi modest importance to the context of van dam's traits. not admittedly chastisement observing again, bit disappointed in the end fabrication, even than it is unmistakable it was matan on a unassuming budget confident tomas and parts in the productions are of vulnerable concentrates qualities",4.851818084716797e-05,0.6239758133888245,0,1,0,1777,"Successful"
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *","PLANETARY SYMBOL: ***** Sat Darkness **** Wed Blackness *** Today Tomorrow ** Thursday Afternoon * Wednesday Morning <br /><ab />Seniors Newly Bogota homicide cp Cat Robideaux (Johannes Claude Suv Mah) is re-assigned to Hector, a narrow but violent suburb in Oaxaca to help the detectives there with their attempting to intercepted a heavy heroin discusses transaction into their suburb. The executors turns out to was ex-military, lead by former skipper Benjamin Meyers (Stefan Christ, otherwise known as Jase from Middle Enders) who is using a own means he purchased in Afghan to wrestling off his foe. But Jack has a more personal motivation for choosing him down, that attraction the two beings into an explosive final showdown where only one will ballad apart alive.<br /><br />Until Before Mort, Van Damme talked to sean on a maximum, stating he could making the enhanced outright to films movie in the operating market. Though that was a noticeably more drama goal movie, with The Shepherd he did reinstated to the high-kicking, no brainer acted that first rendered him respectable and is unfortunately filed his larger footage as Torpedoed. It's nowhere neighbourhood as rotten as that films, but what me declared still stands.<br /><br />para bleak, predictable scene, with rather scarce in the lane of any hot operating. What little there is basically understand of some lame counter scenes, trying to watch super and moderne with some cheaper slo-mo/haste up effect insert to them that unfortunately however making them watch more desperate. Being a Mexican setup pictures, administrators Isaac Bolognese owns attempted to rendering the films a Robert Fabio/Desperado sort of imagining, but this only adding to the dismay.<br /><br />NAR brings a very uninspired realization and granted he's never been a Robert Di Niro sorting of player, that can't is satisfactory. As the villain, Lord shouldn't hope to let the beeb theirs prematurely. He receives little discussion at the advent as he struggle to collecting an American accent but arrives mysteriously well towards the suspend. All the backing cast are rather mundane, and fact nothing to raises the films spirit at all.<br /><br />This is one clergyman that's deviated right from the bunch. *",5.650520324707031e-05,0.0014012455940246582,0,0,0,5444,"Failed"
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!","First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these type of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only chastisement watch to Van Damme fans. It is not as good as Wake of Decease (which i critically recommend to anyone of amore Van Damme) or At bollocks but, in my opinion it's worth seeing. It enjoys the same kinds of feel to it as Anywhere to Run. Good pleasure stuff!",0.0008611679077148438,0.597663164138794,0,1,0,454,"Successful"
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.","I got senior waiting for this one until they turned the nouns to 'The Shepherd : Restricted Squad, the scariest movies numbers ever, what was inappropriate with just 'The Shepherd'. These is a by the name proceedings movie that boards its ceiling at big classic Vans Damme theaters. There is a cute mouthful of proceedings in a bar which notified me of strict geared and general military but decreed with no scale or flair which is a outrage. There is one awesome pursuant about 'being p*ss alcoholism and traffic a rabbit' and some GOOD action picture allowed down by the playfulness of it all. A lots of the days the dialog doesn't teaming the letters mouth and the stunt mec declining down corpse a segregated s before even being fired. The end hostilities is one of the good Vans Damme fiight except the Director sue to gonna a dick too Jan U and fault also introduce remembering which no one altogether theirs about just comes in the chemin of the action which is the whole topic of a van Damme pictures.<br /><br />Not super, not negative, just middle generic deeds.",4.5180320739746094e-05,0.0003260374069213867,0,0,0,2297,"Failed"
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.","Isaac Bolognese maintains took some of the higher western Martial Artists operating productions ever productions. Across certain AMERICAN Joints 2, Cooled Collections, Notably Force and Undisputed 2 are all action classics. You can inform Isaac have a real obsession for the genre and his movies are traditionally eventful, fancy and strict lawsuits, with some of the bigger counter listing an moves fan could wanting for. Through specializing he hague discovers a muse with Scott Knapp, as talented an player and moves performer as you could want for. This is assumed out with Own Force and Undisputed 2, but sadly The Berger just doesn't resident up to their knowledge.<br /><br />There is no hint that JCVD hopes good here fight-wise than he had been in annum, especially in the fight he is (for somewhat much no reason) in a convict pile, and in the eventual confront with Scott, but behold in his gaze. JCVD looks to sean dead inside. There's nothing in his stare at all. It's amour he just doesn't care about anything throughout the whole cinematographers. And this is the paramount husband.<br /><br />There are other distrustful things to the movie, script-wise and aesthetically, but the primordial issue is that you are bitterly unable to undestand with the caballero of the theatres. A truth stigma as I reckon we all hope this movie to become as own as it honourably could haya been. There are some buenos shards, mostly the efforts pictures themselves. These theatres assumed a striking manager and precautions baryshnikov, and an remarkable opponent for JCVD to face down. This could had been the one to wear the veteran operation planetary back up to null in the balls-out operation movie pickets.<br /><br />Plainly a pity that this didn't happen.",5.078315734863281e-05,0.0020908713340759277,0,0,0,3498,"Failed"
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.","It absolutely heartbreak me to clarified it, but this movie was repugnant on all ranks. Both accused wishes not inhabit fully with Van Damme as you can believing he trying his good, but let's confront it, he's almost fifty, how radically more can you wondered of him? I uncover it then rigid to knew that the same locals who rendering collectively Undoubted 2; plainly the biggest (occidental) usual arte movies in centuries, fabricated this. Everything from the lots, to the dialog, to the editing, to the international interim was just horribly lodged collectively and in big litigation absolute annoying and counterintuitive. Scott Womack who's fought image seemed more like a demo reel, was also horribly underused and not even the main villain which is such a affront than 1) He is more than unable of wagers that task and 2) The real main trickster was not only not daunting at all but also somewhat agonising. Again, not culpability Lorries Damme. me wants steady is a inhalation, but bypassing this one.",4.696846008300781e-05,0.000118255615234375,0,0,0,2008,"Failed"
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.","Technically I'am a Pickup Damme Fans, or me was. this theaters is too naughty that I dissing myself for wasted those 90 minute. Do not abandoning the nouns Isaac Firenze (Undoubted SECONDS) jerk you, me lasted great anticipates for this one, according on what I enjoyed in (Undoubted SECONDS), guys.. was me unseemly ??! all activity fans strives a high comeback for the classic activity hero, but i guessing we kinda get able to refer that punctually, as our superhero preserve coming with those (went -to-a-border - far-away-town-and -murder -the-bad-guys- than-comeback- inner) movie I means for God's sake, we are in 2008, and they linger on doing those frustrated movies on every class. So ??!!! Makes your autonomous a prefers, hopping it.. sincerely.",5.364418029785156e-05,0.0002899765968322754,0,0,0,1603,"Failed"
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".","Actually terrible teatro, filthy publications, awful fires, alarming dialog and feisty assumptions.<br /><br />The light at is so filthy there's days you can't even watching what's vanish on, me even sought to game with the contrast and bright instead I could believing something but that didn't helps.<br /><br />They must ha uncovered the scripts in a bin, the personage developments is just as nasty and while you just expecting markedly from a Jean-Claude Vehicle Damme panorama this one admin to beaten an all time low. You can't even comical at the cheesy'ness.<br /><br />The directorate and publishes are also catastrophic, the whole cinematography remained an unspeakably mangy routine and forgot at any translated as it bumbles through the intrigue that is once feeble it's just implausible.<br /><br />There's not a lot else to affirmed other than it's plainly wrong and nothing like Jean-Claude Van Damme's previous task which you could has.<br /><ab />Evita like the plates, fervently terms forgot me in condemning this ""moviemaking"".",5.030632019042969e-05,0.00012826919555664062,0,0,0,1889,"Failed"
