original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.","ii like sci-vi and am willing to put up with a little. Sci-fi wars/television are and underfunded, under-appreciated and misunderstood. and tried to do this, he seriously did, but it is to bad televised sci-fi as the 5 is to Star mutiny (the epic). old prosthetics, cheap cardboard sets, stilted scenes, CG that doesn't match the setting, and une one-dimensional scenes cannot be beaten with a 'sci-fi' format. (I'm afraid there are those of you out there who thinks earth 2 is bad sci-fi time. It's not. It's cliches and uninspiring.) although US viewing can create tension and the tension, sci-spec is a category that does not take itself real (co. Star kirk). this may address some questions, if not as a really policy. It's really difficult to care about the figures here as they are not simply rather, just just a spark of life. our steps and reaction are wooden and distant, and painful to watch. all makers of planet think it's garbage as they have to even saying ""paul Roddenberry's estate..."" and most could not continue viewing. Roddenberry's sands must be falling in their path as this mere, crude, mis edited (showing it sans advert breaks what ties this down) trudgled trabak of a star lumbers into space. Spoiler. no, killed off a primary player. not then bringing him down as other one. jeeeez! Dallas all over again.",4.792213439941406e-05,0.00014674663543701172,0,0,0,864,Failed
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.","t the entertainment price of a rental, not if you like art games. first part features the typical car chasing, fights with the massive a dammerie kicked team, running fights with the 40 shell pack gun, and some terrorism like explosives. All of this is all and competentbeing handled but there is nothing that which blows you away if you've seen your share before.<gr /><br />that title is made important by the entry of a horse, which is simple but hardly profound. few of the title are heavily stereotypeised -- the angry soldiers, the frightened revolutionary invaders, the blind officers, the empty cones, the bitching local female street heads, the new politicians, the the federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940. and passwell was but again nothing special.<br /><br />on thinking the main bosses were pretty well done and rather well done. at the middle of the end you absolutely realized who the bad things were and weren't. There was an shock shock as the truly bad ones gotten their just deserts. pretty simplical, but then you weren't expecting this, correct? The only thing we found really interesting was the bad cuts to vtv son during the penultimate fight fight.<se /><br />mostly bad. but positive. passer 3.",4.267692565917969e-05,0.0004566311836242676,0,0,0,828,Failed
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a totally average film with a few semi-alright battle sequences that makes the story sense a lot clearer and reminding the you of the original ton dom pictures. portions of the plot don't be copies and tend to be added in to pick up times. the finishing sequence is that of a very solid sort that doesn't have the player confused and any plot are hidden from the ending. the ended scenes with the .bottles bottles don't really use as they are add in and tend to have less importance to the background of man dam'son character. not really just watching again, bit disappointed in the last production, even but it is known it was made on a short basis certain shoots and pieces in the series are of very short style",4.851818084716797e-05,0.002231597900390625,0,0,0,470,Failed
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!","First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not find this movie. Most of these movies may not have the best plots or best actors but myself enjoy these series of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the genre, the game is only for watch to von Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",0.0008611679077148438,0.6347482800483704,0,1,0,135,Successful
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.","I had long anticipation for this number until they switched the names to 'The in : war Patrol, the lamebiggest movie number ever, what was up with just 'and shepherdis. these is a by the hundreds action picture that tips its head at many great Van Damme film. is is a nice piece of drama in a bar which was me of hard cross and american man but directed with no effort or style which is a compliment. just is this great story about 'being p*t drunken and carrying a rabbit, and some OK sport acts let down by the cheapcost of it all. A sometimes of the some the action doesn't up the hero mouths and the other men end down laughing a first sec before ever being shots. there on there is one of the best Van Damme films except the crew trying to gone a little too John Woo and succeeds especially in moments which no ones you feels about just gets in the hair of the action which is the just core of a n Damme movie.<s /><to />Not average, not average, just average generic act.",4.5180320739746094e-05,0.0003922581672668457,0,0,0,783,Failed
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.","Isaac floreone has made some of the hits in Martial in ang pictures yet in. of particular our forces i, low fall, clandestine force and undis. ii are all only blockbuster. You can see this has a real love for the franchise and his productions are usually eventry, bold and hard affairs, with some of the finest street scenes an ang fan would hope for. to all he has found a friend with david admons, as skilled an writer and art director as you couldn hope for. fame is borne out with secret force and undisquest 3, but unfortunately their family just doesn't live up to their abilities.<pr /><ref />we is no sure that jcc is best here fight-wise than he has done in days, especially in the encounter he has (for most much no causes) in a his cell, and in the finally meeting with this, but look in his eyes. jcp seems to be dead inside. There's nothing in his pockets at all. It's like he just doesn't care about anything like the real guy. that this is the real man.<pr /><gr />these are other dodary matters to the films, script-and and technically, but the biggest issue is that you are essentially unable to emconnectconnect with the person of the game. A sad shame as you know we all wanted this film to be as special as it really could have been. There are some real pieces, all the actions ones themselves. that game had a brilliant filmmaker and a pro, and an huge challenger for jck to face down. he could have been the first to put the old order legend again up to wax in the balls-at action game stake.<ref /><gr />for a shame that this didn't happen.",5.078315734863281e-05,0.0006353259086608887,0,0,0,1060,Failed
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.","the to pang me to add it, but this thing was horrible on every level. is regret does not rest all with de damp as you can see he trying his hardest, but let't face it, he's now fifty, how little more can you hope of him? I find it so hard to believe that the same men who put with undission 4; perhaps the worst (eastern) martial street picture in years, did this. Everything from the screenplay, to the dialog, to the editing, to the score art was just horribly cut together and in some instances almost irrelevant and nonsensicbased. Scott adk who're fight parts had more like a the movie, was was unfortunately underconsidered and not by the real enemy which is such a thing because one) there is more than him of of that position and second) The original main figure was not only not formidable at all but a rather irrelevant. so, not blaming de damhimself. we will always be a thorn, but ignore this guy.",4.696846008300781e-05,0.0001519918441772461,0,0,0,639,Failed
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".","the awful thing, badly edited, damned editing, terrible .er and scrappy budget.<b /><pr />a lighting at is so bad there'a second you can'can even see what's goin on, then even tried to playing with the angle and pan so me could watch it but that didn't help.<pr /><pr />They themselves have deemed the production in a bin, the set acting is just as awful and while you hardly expect much from a jean-die Van damp flick this one managed to hit an all point low. some can't even laugh at the cheesy'end.<b /><cr />The direction and editing are all terrible, the rest version suffers an rather poor run and competes at the turns as it bumbles through the premise that is so poor it's just unreal.<pr /><pr />There's not a lot else to saying other than it's rather badly and nothing like jean-pierre va damme'' other flick which you could do.<b /><br />but like the plaques, my actions fail me in condemning this ""sequel"".",5.030632019042969e-05,0.00012695789337158203,0,0,0,662,Failed
"This flick is a waste of time.I expect from an action movie to have more than 2 explosions and some shooting.Van Damme's acting is awful. He never was much of an actor, but here it is worse.He was definitely better in his earlier movies. His screenplay part for the whole movie was probably not more than one page of stupid nonsense one liners.The whole dialog in the film is a disaster, same as the plot.The title ""The Shepherd"" makes no sense. Why didn't they just call it ""Border patrol""? The fighting scenes could have been better, but either they weren't able to afford it, or the fighting choreographer was suffering from lack of ideas.This is a cheap low type of action cinema.","the war is a waste of time.my expect from an real picture to have more than two exploded and some more.on Damme's act is awful. him never was any of an star, but here it is worse.that was way less in his older movies. His short half for the whole war was apparently not more than every line of his english ones linerlines.The all dialstuff in the cinema is a sham, same as the story.this word ""king Shepherd"" doesn no sense. where didn't they just label it ""Border protection""? to fighting elements could have been best, but either they weren't having to afford it, or the ground crew was suffering from nowhere of options.such is a cheaper cheap type of operation film.",4.9591064453125e-05,0.00014674663543701172,0,0,0,543,Failed
"Blind Date (Columbia Pictures, 1934), was a decent film, but I have a few issues with this film. First of all, I don't fault the actors in this film at all, but more or less, I have a problem with the script. Also, I understand that this film was made in the 1930's and people were looking to escape reality, but the script made Ann Sothern's character look weak. She kept going back and forth between suitors and I felt as though she should have stayed with Paul Kelly's character in the end. He truly did care about her and her family and would have done anything for her and he did by giving her up in the end to fickle Neil Hamilton who in my opinion was only out for a good time. Paul Kelly's character, although a workaholic was a man of integrity and truly loved Kitty (Ann Sothern) as opposed to Neil Hamilton, while he did like her a lot, I didn't see the depth of love that he had for her character. The production values were great, but the script could have used a little work.","the dates (united art, 1935), was a respectable release, but I have a few issues with this title. firstly of all, me don't like the actors in this title at all, but more or so, we have a issue with the plot. Also, I understand that this bond was done in the 1930's and everyone were trying to flee happening, but the production turned the Sothern's person look vulnerable. that stopped happening front and away between suitmen and we feel as although she should have stayed with the Kelly's role in the story. who truly did really about her and her country and will have do any for her and he did by giving her up in the death to fival paul Hamilton who in my reckon was only out for a long year. neil kelly'' character, being a workahlot was a man of fact and genuinely knew Kitty (as sotheran) as contrary to Neil as, while he did dislike her a little, we didn't know the depth of trust that he had for her character. wrote end costs were limited, but the film had have involved a less writing.",4.851818084716797e-05,0.0004620552062988281,0,0,0,709,Failed
